"","","","","","","","","","","","","","","","","","","","","","","","","","lls"
"1",0.12,0,0.15,0,0,0.12,2.13,0.44,0.32,1,0.43,3.73,0.22,0.66,0.76,1.03,0.77,0.11,0.15,0,0.34,0,0,0,-828.59
"2",0.1,0.05,0.19,0,-0.03,0.11,1.82,1.82,1.82,1.82,1.82,1.82,0.36,0.26,0.15,0.24,0.14,0.13,0.17,0,0.3,0,0.02,0,-826.94
"3",0.1,0.04,0.16,-0.01,-0.03,0.12,1.49,0.67,0.5,1.92,0.69,3.28,0.27,0.73,0.4,0.59,0.26,0.12,0.16,0.01,0.32,0,0.02,0,-824.92
"4",0.15,0.03,0.15,0.02,-0.02,0.12,3.5,0.44,0.34,0.31,0.27,3.87,0.13,0.78,0.64,0.18,0.53,0.11,0.12,0.02,0.33,-0.01,0.01,0,-825.04
